phase,reference_kJ_mol_per_H2O,author_relative_kJ_mol_per_H2O,author_error_kJ_mol_per_H2O,current_relative_kJ_mol_per_H2O,current_error_kJ_mol_per_H2O,native_relative_kJ_mol_per_H2O,native_error_kJ_mol_per_H2O,native_minus_current_relative_kJ_mol_per_H2O,author_minus_current_relative_kJ_mol_per_H2O
II,0.310000000000,-9.054674473663,-9.364674473663,-9.052128552229,-9.362128552229,-9.052122321210,-9.362122321210,+6.231018430114e-06,-0.002545921434
III,1.250000000000,-2.341718735741,-3.591718735741,-2.299617048110,-3.549617048110,-2.299610990511,-3.549610990511,+6.057598788356e-06,-0.042101687631
IV,3.830000000000,2.892295288573,-0.937704711427,2.904340310370,-0.925659689630,2.904346265887,-0.925653734113,+5.955517003553e-06,-0.012045021797
VI,1.780000000000,-12.421511808624,-14.201511808624,-12.321031303356,-14.101031303356,-12.321024967756,-14.101024967756,+6.335600023277e-06,-0.100480505268
VII,4.990000000000,-153.975297663225,-158.965297663225,-153.898129900582,-158.888129900582,-153.898146955627,-158.888146955627,-1.705504558913e-05,-0.077167762643
VIII,4.230000000000,-38.490190131801,-42.720190131801,-38.486266197121,-42.716266197121,-38.486259267872,-42.716259267872,+6.929248883125e-06,-0.003923934680
IX,0.600000000000,-2.462552658693,-3.062552658693,-2.461004071112,-3.061004071112,-2.460998734167,-3.060998734167,+5.336944666645e-06,-0.001548587581
XI,0.160000000000,-62.538655078118,-62.698655078118,-62.523175264050,-62.683175264050,-62.523168276149,-62.683168276149,+6.987901137734e-06,-0.015479814068
XIII,2.120000000000,0.923689538253,-1.196310461747,0.926723486584,-1.193276513416,0.926729513961,-1.193270486039,+6.027377207229e-06,-0.003033948331
XIV,1.700000000000,-83.903026646196,-85.603026646196,-83.899718986937,-85.599718986937,-83.899711714506,-85.599711714506,+7.272431730598e-06,-0.003307659258
XV,1.740000000000,-12.548998017354,-14.288998017354,-12.545503073689,-14.285503073689,-12.545496741037,-14.285496741037,+6.332652487728e-06,-0.003494943665
XVII,1.750000000000,-10.466416920283,-12.216416920283,-10.466391957817,-12.216391957817,-10.466385740566,-12.216385740566,+6.217250820839e-06,-0.000024962466
