mesh_n,phase,dmc_reference_kj_mol_per_H2O,pbc_relative_kj_mol_per_H2O,mstore_inorganic_relative_kj_mol_per_H2O,mstore_minus_pbc_kj_mol_per_H2O,pbc_absolute_error_kj_mol_per_H2O,mstore_absolute_error_kj_mol_per_H2O,pbc_cli_accuracy,mstore_cli_accuracy,same_cli_accuracy
1,II,0.310000,-85.402832480791,21.964390394634,107.367222875425,85.712832480791,21.654390394634,0.1,0.1,true
1,III,1.250000,-52.784771448006,-171.325848518761,-118.541077070755,54.034771448006,172.575848518761,0.1,0.1,true
1,IV,3.830000,38.666296487481,-64.481456672543,-103.147753160024,34.836296487481,68.311456672543,0.1,0.1,true
1,VI,1.780000,-119.951876462899,-55.475838468692,64.476037994207,121.731876462899,57.255838468692,0.1,0.1,true
1,VII,4.990000,-491.873083815613,-259.196245399110,232.676838416503,496.863083815613,264.186245399110,0.1,0.1,true
1,VIII,4.230000,-227.181421040355,-252.839445286494,-25.658024246139,231.411421040355,257.069445286494,0.1,0.1,true
1,IX,0.600000,-36.269951925783,-146.178117427308,-109.908165501525,36.869951925783,146.778117427308,0.1,0.1,true
1,XI,0.160000,-299.258518836626,-224.393887966522,74.864630870104,299.418518836626,224.553887966522,0.1,0.1,true
1,XIII,2.120000,16.464730608559,-64.059726187434,-80.524456795993,14.344730608559,66.179726187434,0.1,0.1,true
1,XIV,1.700000,-351.956576532881,-178.832658863162,173.123917669719,353.656576532881,180.532658863162,0.1,0.1,true
1,XV,1.740000,-121.156628176656,-55.925167433801,65.231460742855,122.896628176656,57.665167433801,0.1,0.1,true
1,XVII,1.750000,-112.486904450047,-52.285059233270,60.201845216777,114.236904450047,54.035059233270,0.1,0.1,true
2,II,0.310000,-40.052769548562,11.549596417487,51.602365966049,40.362769548562,11.239596417487,0.1,0.1,true
2,III,1.250000,-21.669458368756,-29.811523391510,-8.142065022754,22.919458368756,31.061523391510,0.1,0.1,true
2,IV,3.830000,14.926647908813,0.256599145141,-14.670048763672,11.096647908813,3.573400854859,0.1,0.1,true
2,VI,1.780000,-57.367276074495,-28.460677817350,28.906598257145,59.147276074495,30.240677817350,0.1,0.1,true
2,VII,4.990000,-299.975204903283,-151.947965741842,148.027239161441,304.965204903283,156.937965741842,0.1,0.1,true
2,VIII,4.230000,-121.493623038083,-77.417542603032,44.076080435051,125.723623038083,81.647542603032,0.1,0.1,true
2,IX,0.600000,-14.811033266160,-24.470250890265,-9.659217624105,15.411033266160,25.070250890265,0.1,0.1,true
2,XI,0.160000,-165.236809268426,-84.549975905731,80.686833362695,165.396809268426,84.709975905731,0.1,0.1,true
2,XIII,2.120000,6.872357662713,0.922244833924,-5.950112828789,4.752357662713,1.197755166076,0.1,0.1,true
2,XIV,1.700000,-199.607041791688,-99.557194036284,100.049847755404,201.307041791688,101.257194036284,0.1,0.1,true
2,XV,1.740000,-58.045564075785,-28.664951204286,29.380612871499,59.785564075785,30.404951204286,0.1,0.1,true
2,XVII,1.750000,-51.558720983607,-25.438330429983,26.120390553624,53.308720983607,27.188330429983,0.1,0.1,true
3,II,0.310000,-9.052128552229,-0.279988209907,8.772140342322,9.362128552229,0.589988209907,0.1,0.1,true
3,III,1.250000,-2.299617048110,-1.720202220170,0.579414827940,3.549617048110,2.970202220170,0.1,0.1,true
3,IV,3.830000,2.904340310370,1.653583137544,-1.250757172826,0.925659689630,2.176416862456,0.1,0.1,true
3,VI,1.780000,-12.321031303355,-5.912105883998,6.408925419357,14.101031303355,7.692105883998,0.1,0.1,true
3,VII,4.990000,-153.898129900577,-77.446667006181,76.451462894396,158.888129900577,82.436667006181,0.1,0.1,true
3,VIII,4.230000,-38.486266197120,-19.706722185486,18.779544011634,42.716266197120,23.936722185486,0.1,0.1,true
3,IX,0.600000,-2.461004071112,-2.774771626398,-0.313767555286,3.061004071112,3.374771626398,0.1,0.1,true
3,XI,0.160000,-62.523175264048,-31.168750655955,31.354424608093,62.683175264048,31.328750655955,0.1,0.1,true
3,XIII,2.120000,0.926723486584,0.442953962487,-0.483769524097,1.193276513416,1.677046037513,0.1,0.1,true
3,XIV,1.700000,-83.899718986935,-41.779791859131,42.119927127804,85.599718986935,43.479791859131,0.1,0.1,true
3,XV,1.740000,-12.545503073689,-5.934441749535,6.611061324154,14.285503073689,7.674441749535,0.1,0.1,true
3,XVII,1.750000,-10.466391957817,-4.880577524129,5.585814433688,12.216391957817,6.630577524129,0.1,0.1,true
