solid,source_scale,target_scale,status,failed_stage,seed_E0_hartree,target_E0_hartree,independent_target_E0_hartree,target_minus_independent_hartree,seed_scf_steps,target_scf_steps,restart_confirmation,abort_residual,last_scf_step
LiH,1.000,1.375,completed,,-32.73071778451367,-32.43710154175437,-32.81661347043809,0.3795119286837192,14,14,normal_completion_with_restart_density_guess_and_no_restart_error,,
LiH,1.300,1.375,completed,,-32.45805963156174,-32.81661347044217,-32.81661347043809,-4.078515303262975e-12,21,15,normal_completion_with_restart_density_guess_and_no_restart_error,,
LiH,1.375,1.300,completed,,-32.81661347043809,-32.77037359901141,-32.45805963156174,-0.31231396744966844,15,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
LiH,1.375,1.450,completed,,-32.81661347043809,-32.65682488984495,-32.65682488984005,-4.89563944938709e-12,15,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
LiH,1.450,1.375,completed,,-32.65682488984005,-32.81661347043968,-32.81661347043809,-1.5845103007450234e-12,15,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.800,0.820,completed,,-1102.0283341293277,-1102.4176046634361,-1102.4176046634360,-2.2737367544323206e-13,15,17,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.820,0.800,completed,,-1102.4176046634360,-1102.0283341293277,-1102.0283341293277,0.0,14,16,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.820,0.850,failed,target,,,,,,,,1.1204e-4,21
MgO,0.850,0.820,failed,seed,,,,,,,,2.0771e-4,27
MgO,0.940,0.960,completed,,-1102.3386045670436,-1102.3502352236007,-1102.3502352236010,2.2737367544323206e-13,13,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.940,0.980,completed,,-1102.3386045670436,-1102.3505004018143,-1102.3505004018140,-2.2737367544323206e-13,13,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.960,0.940,completed,,-1102.3502352236010,-1102.3386045670436,-1102.3386045670436,0.0,13,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
MgO,0.980,0.940,completed,,-1102.3505004018140,-1102.3386045670438,-1102.3386045670436,-2.2737367544323206e-13,13,13,normal_completion_with_restart_density_guess_and_no_restart_error,,
