solid,structure,mesh,a0_A,a0_reference_A,a0_error_A,ecoh_eV_per_atom,ecoh_reference_eV_per_atom,ecoh_error_eV_per_atom,status
C,diamond,k101010,3.4950058076,3.5530000000,-0.0579941924,7.696142552813,7.550000000000,0.146142552813,converged at k101010
Si,diamond,k888,5.2755068487,5.4210000000,-0.1454931513,5.007581092370,4.700000000000,0.307581092370,converged at k888
SiC,zincblende,k999,4.3671733049,4.3470000000,0.0201733049,6.590467481978,6.470000000000,0.120467481978,converged at k999
BN,zincblende,k999,3.4784245349,3.5930000000,-0.1145754651,7.045016567921,6.760000000000,0.285016567921,k101010 equilibrium single point running
BP,zincblende,k999,4.4629125252,4.5250000000,-0.0620874748,5.274106999660,5.140000000000,0.134106999660,converged at k999
AlN,zincblende,k999,4.3042290047,4.3680000000,-0.0637709953,5.525878138017,5.850000000000,-0.324121861983,converged at k999
AlP,zincblende,k888,5.1808651735,5.4480000000,-0.2671348265,4.453094626050,4.310000000000,0.143094626050,converged at k888
MgS,rocksalt,k999,4.9220537518,5.1880000000,-0.2659462482,4.838352070499,4.040000000000,0.798352070499,k101010 running
LiF,rocksalt,k777,3.7753825512,3.9730000000,-0.1976174488,4.815613887984,4.460000000000,0.355613887984,k888 and k999 refinements running
LiCl,rocksalt,k888,4.8511684272,5.0720000000,-0.2208315728,3.912283653500,3.580000000000,0.332283653500,k999 equilibrium single point running
