solid,structure,mesh_n,a0_A,a0_reference_A,a0_error_A,ecoh_eV_per_atom,ecoh_reference_eV_per_atom,ecoh_error_eV_per_atom,first_passing_pair,delta_a0_A,delta_ecoh_kj_mol_per_atom
C,diamond,9,3.4973,3.5530,-0.0557,7.6964,7.5500,0.1464,8x8x8_to_9x9x9,0.000251,-0.146113
Si,diamond,7,5.2753,5.4210,-0.1457,5.0080,4.7000,0.3080,6x6x6_to_7x7x7,0.000874,-0.201448
SiC,zincblende,8,4.3671,4.3470,0.0201,6.5908,6.4700,0.1208,7x7x7_to_8x8x8,0.000404,-0.129677
BN,zincblende,9,3.4784,3.5930,-0.1146,7.0450,6.7600,0.2850,8x8x8_to_9x9x9,0.000540,-0.191247
BP,zincblende,8,4.4628,4.5250,-0.0622,5.2744,5.1400,0.1344,7x7x7_to_8x8x8,0.000422,-0.123390
AlN,zincblende,8,4.3040,4.3680,-0.0640,5.5262,5.8500,-0.3238,7x7x7_to_8x8x8,0.000697,-0.121182
AlP,zincblende,7,5.1806,5.4480,-0.2674,4.4535,4.3100,0.1435,6x6x6_to_7x7x7,0.000898,-0.204624
MgS,rocksalt,7,4.9450,5.1880,-0.2430,4.8367,4.0400,0.7967,6x6x6_to_7x7x7,-0.002299,-0.245235
LiF,rocksalt,9,3.7325,3.9730,-0.2405,4.8160,4.4600,0.3560,8x8x8_to_9x9x9,0.000473,-0.087522
LiCl,rocksalt,8,4.8512,5.0720,-0.2208,3.9123,3.5800,0.3323,7x7x7_to_8x8x8,0.005350,-0.055017
