L_angstrom,cp2k_energy_Eh,signed_delta_E_kJ_per_mol,abs_delta_E_kJ_per_mol,max_component_delta_F_Eh_per_a0,max_abs_stress_GPa,max_abs_analytical_minus_numerical_virial_Eh,cp2k_sha256,normal_termination,qualified
8,-76.53281894254921,-250.56149500674152,250.56149500674152,0.005111710700000001,0.7092639053958741,1.2969999935164012e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
10,-76.49612779497798,-154.22890028636596,154.22890028636596,0.0036713449,0.2947137933019087,1.8870000006998566e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
12,-76.47229243885772,-91.64918138575179,91.64918138575179,0.0023167801000000005,0.14294679837195143,1.281000000085547e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
15,-76.45153916705496,-37.16147374957503,37.16147374957503,0.0009674247000000004,0.05129665826090072,2.755999997661185e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
20,-76.43985589661881,-6.4870514315134615,6.4870514315134615,0.00015323979999999973,0.011996772411557678,1.343e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
30,-76.4374481877965,-0.165612786582289,0.165612786582289,5.3845999999999755e-06,0.0025891070503322707,6.925999999213284e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
40,-76.43738940213733,-0.011271059604310484,0.011271059604310484,3.975499999999549e-06,0.0010775425298468447,2.685e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
50,-76.43738670717899,-0.004195447454112293,0.004195447454112293,2.0803999999999268e-06,0.0005514163850830732,4.991000000439949e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
60,-76.43738601862653,-0.0023876532152852653,0.0023876532152852653,1.2047999999997144e-06,0.0003190850834318229,7.294000001212275e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
80,-76.43738549312393,-0.0010079463293385994,0.0010079463293385994,5.096000000003043e-07,0.00013460780132621932,1.0742e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
100,-76.43738530537355,-0.0005150077914798272,0.0005150077914798272,2.601999999993915e-07,6.891811614922604e-05,1.0857999999114298e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
